loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6787,9.73161567364466e-06,0.27,500,,,,,,,,,
,,0.27,500,0.6802759766578674,4.8556,682.101,85.263,,,,,
0.6641,9.463231347289318e-06,0.54,1000,,,,,,,,,
,,0.54,1000,0.6694498658180237,4.567,725.199,90.65,,,,,
0.6502,9.194847020933978e-06,0.81,1500,,,,,,,,,
,,0.81,1500,0.661901593208313,4.5678,725.076,90.634,,,,,
0.6392,8.926462694578637e-06,1.07,2000,,,,,,,,,
,,1.07,2000,0.6593418717384338,4.5691,724.868,90.609,,,,,
0.6337,8.658615136876008e-06,1.34,2500,,,,,,,,,
,,1.34,2500,0.6572617292404175,4.5672,725.173,90.647,,,,,
0.6345,8.390230810520667e-06,1.61,3000,,,,,,,,,
,,1.61,3000,0.6537942886352539,4.5716,724.469,90.559,,,,,
0.6343,8.121846484165325e-06,1.88,3500,,,,,,,,,
,,1.88,3500,0.6540704369544983,4.5798,723.175,90.397,,,,,
0.6287,7.853462157809985e-06,2.15,4000,,,,,,,,,
,,2.15,4000,0.6591395735740662,4.5788,723.326,90.416,,,,,
0.6242,7.585614600107354e-06,2.42,4500,,,,,,,,,
,,2.42,4500,0.6514261364936829,4.5583,726.581,90.823,,,,,
0.6216,7.317230273752014e-06,2.68,5000,,,,,,,,,
,,2.68,5000,0.6550719738006592,4.5704,724.662,90.583,,,,,
0.6223,7.048845947396673e-06,2.95,5500,,,,,,,,,
,,2.95,5500,0.651620626449585,4.5857,722.248,90.281,,,,,
0.6208,6.780461621041332e-06,3.22,6000,,,,,,,,,
,,3.22,6000,0.6501737833023071,4.5606,726.22,90.778,,,,,
0.6142,6.5120772946859915e-06,3.49,6500,,,,,,,,,
,,3.49,6500,0.6583197116851807,4.5784,723.404,90.425,,,,,
0.6149,6.24422973698336e-06,3.76,7000,,,,,,,,,
,,3.76,7000,0.6586681008338928,4.5855,722.281,90.285,,,,,
0.6157,5.97584541062802e-06,4.03,7500,,,,,,,,,
,,4.03,7500,0.6503455638885498,4.5543,727.217,90.902,,,,,
0.6065,5.707461084272678e-06,4.29,8000,,,,,,,,,
,,4.29,8000,0.6519281268119812,4.5957,720.675,90.084,,,,,
0.612,5.439076757917338e-06,4.56,8500,,,,,,,,,
,,4.56,8500,0.6484813690185547,4.5896,721.634,90.204,,,,,
0.6053,5.171229200214708e-06,4.83,9000,,,,,,,,,
,,4.83,9000,0.6480652689933777,4.5619,726.01,90.751,,,,,
0.6111,4.902844873859367e-06,5.1,9500,,,,,,,,,
,,5.1,9500,0.6494504809379578,4.5789,723.325,90.416,,,,,
0.602,4.634460547504026e-06,5.37,10000,,,,,,,,,
,,5.37,10000,0.6501356363296509,4.5793,723.25,90.406,,,,,
0.6067,4.366076221148685e-06,5.64,10500,,,,,,,,,
,,5.64,10500,0.650215208530426,4.5886,721.788,90.224,,,,,
0.5987,4.098228663446055e-06,5.9,11000,,,,,,,,,
,,5.9,11000,0.6516361236572266,4.5538,727.297,90.912,,,,,
0.6037,3.829844337090714e-06,6.17,11500,,,,,,,,,
,,6.17,11500,0.6487023830413818,4.5676,725.104,90.638,,,,,
0.6001,3.5614600107353738e-06,6.44,12000,,,,,,,,,
,,6.44,12000,0.6486477851867676,4.5856,722.255,90.282,,,,,
0.5977,3.2930756843800325e-06,6.71,12500,,,,,,,,,
,,6.71,12500,0.653017520904541,4.5724,724.35,90.544,,,,,
0.5971,3.0252281266774023e-06,6.98,13000,,,,,,,,,
,,6.98,13000,0.6480074524879456,4.5666,725.261,90.658,,,,,
0.5948,2.7568438003220615e-06,7.25,13500,,,,,,,,,
,,7.25,13500,0.6523462533950806,4.6066,718.962,89.87,,,,,
0.5873,2.4884594739667206e-06,7.51,14000,,,,,,,,,
,,7.51,14000,0.6588361859321594,4.5651,725.501,90.688,,,,,
0.5939,2.22007514761138e-06,7.78,14500,,,,,,,,,
,,7.78,14500,0.6481777429580688,4.5497,727.967,90.996,,,,,
0.6008,1.9522275899087496e-06,8.05,15000,,,,,,,,,
,,8.05,15000,0.6473448872566223,4.6079,718.762,89.845,,,,,
0.5915,1.6838432635534086e-06,8.32,15500,,,,,,,,,
,,8.32,15500,0.6487470865249634,4.5846,722.418,90.302,,,,,
0.5934,1.415458937198068e-06,8.59,16000,,,,,,,,,
,,8.59,16000,0.6492331624031067,4.5779,723.48,90.435,,,,,
0.5984,1.1470746108427269e-06,8.86,16500,,,,,,,,,
,,8.86,16500,0.6479622721672058,4.5903,721.526,90.191,,,,,
0.5906,8.792270531400967e-07,9.13,17000,,,,,,,,,
,,9.13,17000,0.648785412311554,4.5771,723.61,90.451,,,,,
0.5864,6.108427267847558e-07,9.39,17500,,,,,,,,,
,,9.39,17500,0.6496579647064209,4.5645,725.598,90.7,,,,,
0.5972,3.424584004294149e-07,9.66,18000,,,,,,,,,
,,9.66,18000,0.6492442488670349,4.5696,724.786,90.598,,,,,
0.588,7.407407407407409e-08,9.93,18500,,,,,,,,,
,,9.93,18500,0.6489458084106445,4.561,726.149,90.769,,,,,
,,10.0,18630,,,,,728.9293,408.915,25.558,2.607895630944768e+16,0.6122994689613789
